,House 10,House 11,House 12,House 16,House 2,House 20,House 3,House 4,House 5,House 6,House 8
12:15 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:45 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:00 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:15 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:30 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1:45 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:00 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:15 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:30 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:45 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:00 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:15 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:30 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:45 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:00 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:15 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:30 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:45 AM,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:00 AM,0.012,0.016,0.008,,0.0,0.024,0.0,0.0,0.004,0.004,0.027999999999999997
